"","X","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"1277",1277,"CD79B","CD79B..974.",0.0478452234272183,-0.41170901444694,0.271907540129123,-0.282768403488938,0.649924638469593,-0.128940610958002,"sp.P40259.3.CD79B_HUMAN",0.458470184500044,-0.481815175737453,0.400617699521571,0.343224950294749,0.228767175391257,-0.825040126032202,"Anti-Scaling","Scaling","Anti-Scaling","Anti-Scaling"
"1873",1873,"CTNNB1","CTNNB1..1499.",0.0307902801786741,0.470104833809494,1.24821920136994e-05,-0.381602175303013,0.000517715266686786,0.851707009112507,"tr.B4DGU4.B4DGU4_HUMAN",0.443862298860693,-0.212781813433608,0.00031859790365256,0.456487699526396,0.0236803925442185,-0.669269512960004,"Scaling","Scaling","Anti-Scaling","Anti-Scaling"
"3168",3168,"GNA11","GNA11..2767.",0.336926480500333,-0.31211692170901,0.53920358829053,0.0580816385855689,0.2539128113405,-0.370198560294579,"sp.P29992.GNA11_HUMAN",0.480200717305053,-0.193080356737484,0.272096298863992,0.0922620714318308,0.297827919810351,-0.285342428169315,"Anti-Scaling","Buffering","Anti-Scaling","Buffering"
"2565",2565,"ERBB4","ERBB4..2066.",0.293683241354131,0.21706845528944,0.720462929786541,0.0416072719947775,0.436583607658288,0.175461183294662,"sp.Q15303.ERBB4_HUMAN",0.56476039308937,-0.143861110976196,0.00314849584051706,0.569568116609026,0.0123928222231947,-0.713429227585222,"Buffering","Buffering","Anti-Scaling","Anti-Scaling"
"2366",2366,"EEF1A1","EEF1A1..1915.",0.00284657105080779,0.423787278680585,5.09787732078158e-08,-0.385326304860591,1.37524264739841e-06,0.809113583541176,"sp.P68104.EF1A1_HUMAN",0.656569555407303,-0.141325264322451,0.0387924377378864,-0.185054631719087,0.890737238442687,0.043729367396636,"Scaling","Scaling","Anti-Scaling","Buffering"
"2563",2563,"ERBB2","ERBB2..2064.",0.9553158472504,-0.0134336117637961,0.435773400837805,0.247842193658047,0.476888603811266,-0.261275805421843,"sp.P04626.ERBB2_HUMAN",0.405431229902766,-0.134654066029803,0.710272570571732,0.0758925063895472,0.371075229567433,-0.21054657241935,"Buffering","Anti-Scaling","Anti-Scaling","Buffering"
"4869",4869,"MTOR","MTOR..2475.",0.00220724158698989,0.337928790339967,0.00203971622385082,-0.210912818631904,9.5326781221825e-06,0.548841608971871,"sp.P42345.MTOR_HUMAN",0.10497288067469,-0.125551827550228,0.0674913108270412,-0.103120480436845,0.790986903178732,-0.0224313471133833,"Scaling","Buffering","Anti-Scaling","Buffering"
"4911",4911,"MYD88","MYD88..4615.",0.698272029214951,0.141686902749584,4.84625716869914e-05,-0.499157330440354,0.0955281937673961,0.640844233189937,"tr.J3KQJ6.J3KQJ6_HUMAN",0.734422458260389,-0.0846544667888861,0.00210595138825473,-0.275544394970192,0.451880535923998,0.190889928181306,"Buffering","Scaling","Buffering","Scaling"
"6137",6137,"PPP6C","PPP6C..5537.",0.00101304387787037,0.244637649745098,1.49164860581754e-08,-0.326074030394321,2.78737373208405e-10,0.570711680139419,"sp.O00743.PPP6_HUMAN",0.272007522378078,-0.0842599283695836,0.0184109858846903,-0.153461831521676,0.416262676263734,0.0692019031520924,"Buffering","Scaling","Buffering","Buffering"
"1465",1465,"CHD4","CHD4..1108.",0.430882102522683,0.0689788278363439,0.019076756369503,-0.153521715940157,0.0234417604965982,0.2225005437765,"tr.F5GWX5.F5GWX5_HUMAN",0.150006696948485,-0.078672085201355,0.673014243830735,0.0240379490654205,0.127530165285487,-0.102710034266776,"Buffering","Buffering","Buffering","Buffering"
"3945",3945,"KEAP1","KEAP1..9817.",0.0107631340845472,0.30729447204021,4.70994451780543e-05,-0.349411291454818,7.88530405669759e-06,0.656705763495029,"sp.Q14145.KEAP1_HUMAN",0.892574459424001,-0.0355480950054729,2.40387284690961e-05,-0.367247927297156,0.22510524933706,0.331699832291683,"Scaling","Scaling","Buffering","Scaling"
"6115",6115,"PPP2R1A","PPP2R1A..5518.",0.00045737341963067,0.278636401358099,1.13010065537832e-06,-0.343206346822336,7.91455572700509e-11,0.621842748180435,"tr.F5H3X9.F5H3X9_HUMAN",0.598921876164658,-0.0313905403791324,0.000534774775202637,-0.185492323335443,0.026607069061036,0.154101782956311,"Scaling","Scaling","Buffering","Buffering"
"4908",4908,"MYC","MYC..4609.",0.292104998118487,0.161329410235286,0.840749095326768,0.0441343174622606,0.614117447966959,0.117195092773025,"sp.P01106.2.MYC_HUMAN",0.805647253567188,-0.0264287837069255,0.0908149573531821,0.314686682340257,0.077691294779929,-0.341115466047182,"Buffering","Buffering","Buffering","Anti-Scaling"
"5809",5809,"PIK3CA","PIK3CA..5290.",0.00151606075019803,0.222183403719525,0.000473559906719136,-0.398403964563935,8.47603100751696e-07,0.62058736828346,"sp.P42336.PK3CA_HUMAN",0.868207494649334,-0.0137933441965658,0.0767924356523018,-0.205299735654936,0.131202004167975,0.191506391458371,"Buffering","Scaling","Buffering","Buffering"
"6016",6016,"POLRMT","POLRMT..5442.",0.11218254450531,0.19413564578644,5.96137463954064e-12,-0.441991514296715,1.40002233388858e-05,0.636127160083155,"sp.O00411.RPOM_HUMAN",0.915750544479145,-0.0113050788255571,0.000818231819174224,-0.23397132764484,0.0496923144139904,0.222666248819283,"Buffering","Scaling","Buffering","Buffering"
