"","RNA_ID","RNA_Name","RNA.Gene.Pvalue","RNA.Gene.Corr","Protein_ID","Approved_Symbol","Protein.Gene.Pvalue","Protein.Gene.Corr"
"1","A1CF","A1CF..29974..y",0.900681611056649,-0.00651002002973632,"sp.Q9NQ94.A1CF_HUMAN","A1CF",0.657875604894594,-0.0294840087894632
"2","A2M","A2M..2..y",0.109569039332525,-0.0833241863619663,"sp.P01023.A2MG_HUMAN","A2M",0.505202410279005,-0.0347477785868174
"3","A2ML1","A2ML1..144568..y",0.574642603719521,0.0292696032031171,"sp.A8K2U0.A2ML1_HUMAN","A2ML1",0.913881840872815,0.0101955540106389
"4","AAAS","AAAS..8086..y",5.74010074860562e-15,0.39104169347649,"sp.Q9NRG9.AAAS_HUMAN","AAAS",0.82380201809117,-0.0116143247085935
"5","AACS","AACS..65985..y",1.28857081768676e-14,0.386312093237479,"sp.Q86V21.AACS_HUMAN","AACS",0.181703715211311,0.0695820385576403
"6","AADAT","AADAT..51166..y",0.000863002184063572,0.17249327198022,"sp.Q8N5Z0.AADAT_HUMAN","AADAT",0.112351515216386,0.126808018058485
"7","AAGAB","AAGAB..79719..y",3.74653322514954e-20,0.453337769338274,"sp.Q6PD74.AAGAB_HUMAN","AAGAB",7.95405151180676e-05,0.203666460985032
"8","AAK1","AAK1..22848..y",0.00430847259618799,0.148088003227194,"sp.Q2M2I8.AAK1_HUMAN","AAK1",0.279873685883588,0.0563238562024212
"9","AAMDC","AAMDC..28971..y",1.25170585064812e-18,0.436328983210444,"sp.Q9H7C9.AAMDC_HUMAN","AAMDC",1.67714250328178e-05,0.221715425459621
"10","AAMP","AAMP..14..y",2.23348795585588e-36,0.592097400410211,"sp.Q13685.AAMP_HUMAN","AAMP",1.4982567443968e-10,0.325024242437167
"11","AAR2","AAR2..25980..y",4.61614564774967e-42,0.62847437187663,"sp.Q9Y312.AAR2_HUMAN","AAR2",1.92577795873582e-12,0.355180183881007
"12","AARS","AARS..16..y",1.35725380685838e-12,0.357468472327923,"sp.P49588.SYAC_HUMAN","AARS",2.80685379815082e-07,0.263175693425859
"13","AARS2","AARS2..57505..y",7.69149757386266e-19,0.438747403429894,"sp.Q5JTZ9.SYAM_HUMAN","AARS2",2.77847357001589e-12,0.352762710419802
"14","AARSD1","AARSD1..80755..y",2.97264517580887e-28,0.530569259905342,"sp.Q9BTE6.AASD1_HUMAN","PTGES3L-AARSD1",3.21279641438713e-08,0.354613841564024
"15","AARSD1","AARSD1..80755..y",2.97264517580887e-28,0.530569259905342,"sp.Q9BTE6.3.AASD1_HUMAN",NA,4.67846566120953e-07,0.258380437423226
"16","AARSD1","AARSD1..80755..y",2.97264517580887e-28,0.530569259905342,"sp.Q9BTE6.AASD1_HUMAN","AARSD1",3.21279641438713e-08,0.354613841564024
"17","AASDH","AASDH..132949..y",1.73372278561786e-46,0.653798840681114,"sp.Q4L235.ACSF4_HUMAN","AASDH",0.110028364138087,0.241480286979396
"18","AASDHPPT","AASDHPPT..60496..y",1.79906967908541e-33,0.571537160131207,"sp.Q9NRN7.ADPPT_HUMAN","AASDHPPT",2.04289025364121e-15,0.396975736056697
"19","AASS","AASS..10157..y",0.219240069182893,0.0640204279400342,"sp.Q9UDR5.AASS_HUMAN","AASS",0.147485399309506,0.0754503409519972
"20","AATF","AATF..26574..y",1.30183674353969e-30,0.549789128212963,"sp.Q9NY61.AATF_HUMAN","AATF",0.344270649058365,0.0493046784670918
"21","ABAT","ABAT..18..y",8.50863984523028e-05,0.202848883257091,"sp.P80404.GABT_HUMAN","ABAT",0.0201519386971844,0.123806883053826
"22","ABCA1","ABCA1..19..y",2.02612647639699e-05,0.219602950728681,"sp.O95477.ABCA1_HUMAN","ABCA1",0.0426049963587928,0.116951991395184
"23","ABCA10","ABCA10..10349..y",0.414200837313024,0.0425738360970357,"sp.Q8WWZ4.ABCAA_HUMAN","ABCA10",0.17038303759537,-0.109610256691908
