"","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"1","AAMDC","AAMDC",0.853935319276559,-0.0539104411383402,0.444658460886072,-0.298133345444421,0.585626065559086,0.244222904306081,"sp.Q9H7C9.AAMDC_HUMAN",0.643470628684733,-0.121628805460262,0.704233805608135,0.154901264921011,0.522238912868789,-0.276530070381273,"Buffering","Scaling","Anti-Scaling","Anti-Scaling"
"2","AARS","AARS",0.361264808011121,0.436104391251212,0.0221676201005365,-0.59498818878082,0.0562205443666285,1.03109258003203,"sp.P49588.SYAC_HUMAN",0.547760120135119,0.157865351542136,0.293673724293291,-0.263989908947996,0.191662802703065,0.421855260490133,"Scaling","Scaling","Buffering","Scaling"
"3","AARS2","AARS2",0.0260602429295141,0.377269690790199,0.0568079420813144,-0.280345184746241,0.00160617277477759,0.657614875536439,"sp.Q5JTZ9.SYAM_HUMAN",0.0677450971679787,0.431013631068845,0.018676841111466,-0.282753965352181,0.00621807874638995,0.713767596421026,"Scaling","Scaling","Scaling","Scaling"
"4","AASDHPPT","AASDHPPT",0.0672623039478832,0.371697356256261,0.142261407968104,-0.237741275227674,0.0130151857870388,0.609438631483935,"sp.Q9NRN7.ADPPT_HUMAN",0.332755142716838,0.199111112970473,0.62425270393784,-0.0939794593580659,0.203317511118368,0.293090572328539,"Scaling","Buffering","Buffering","Buffering"
"5","ABCF1","ABCF1",0.15220915292642,0.229126585570962,0.000395523198874885,-0.544013028565373,7.75558052896343e-05,0.773139614136335,"sp.Q8NE71.ABCF1_HUMAN",0.106559472927939,0.202068130571123,0.0856804340648298,-0.268629999555604,0.00361768805345475,0.470698130126726,"Buffering","Scaling","Buffering","Scaling"
"6","ABCF3","ABCF3",0.0537902767768954,0.28733752261293,3.65547672403057e-05,-0.842001882883164,3.44336188245273e-06,1.12933940549609,"sp.Q9NUQ8.ABCF3_HUMAN",0.276626165614007,0.218939721124132,0.0767551414824697,-0.407803732712762,0.0198114548356963,0.626743453836894,"Scaling","Scaling","Buffering","Scaling"
"7","ABHD10","ABHD10",0.061565035162394,0.42075094427145,0.174991902233833,-0.297604416943216,0.0156778453785407,0.718355361214666,"sp.Q9NUJ1.ABHDA_HUMAN",0.0962694478037303,0.410983859546844,0.812360651895415,-0.0344220618316943,0.0847427159789892,0.445405921378539,"Scaling","Scaling","Scaling","Buffering"
"8","ABHD12","ABHD12",0.313351574265894,0.214398590291213,0.00619407928455719,-0.586988610077786,0.000229971504576069,0.801387200369,"sp.Q8N2K0.ABD12_HUMAN",0.990540902838973,0.00179687484159549,0.00661472574484349,-0.534570422190993,0.00731403650709046,0.536367297032589,"Buffering","Scaling","Buffering","Scaling"
"9","ABHD16A","ABHD16A",0.30494473459441,0.140381118713516,0.0151733313928027,-0.415029735745741,0.00510715429751062,0.555410854459257,"sp.O95870.ABHGA_HUMAN",0.193326324928103,0.206493149952623,0.165349608959426,-0.210815686447457,0.0227186097922704,0.41730883640008,"Buffering","Scaling","Buffering","Buffering"
"10","ABHD17B","ABHD17B",0.0816561565773763,0.225871823931802,0.0532069618370977,-0.360529913384197,0.00234305886196403,0.586401737315999,"sp.Q5VST6.2.AB17B_HUMAN",0.747467996666827,-0.0600511734922673,0.0772615757645396,-0.327996463639163,0.189655779930435,0.267945290146895,"Buffering","Scaling","Buffering","Scaling"
"11","ABL1","ABL1",0.0202978740437282,0.633568156814302,0.0428774167440329,-0.381988044715286,0.00126425616220072,1.01555620152959,"sp.P00519.2.ABL1_HUMAN",0.284276142365157,0.186647622737244,0.710848864449895,-0.0581878339297191,0.162721231255763,0.244835456666963,"Scaling","Scaling","Buffering","Buffering"
"12","ABR","ABR",0.0614832529066207,0.52671249648004,0.554605005374183,-0.169199572956791,0.0083891744921899,0.695912069436831,"sp.Q12979.ABR_HUMAN",0.131960205625801,0.418755260279978,0.733080105095538,-0.083752598723387,0.0803621826612718,0.502507859003365,"Scaling","Buffering","Scaling","Buffering"
"13","ABT1","ABT1",0.528500569283072,0.163642540176865,0.0334337839066571,-0.293252923882688,0.111362904130758,0.456895464059553,"sp.Q9ULW3.ABT1_HUMAN",0.920150785155172,-0.0219188033958841,0.276939045987715,-0.210129139923607,0.463876741487018,0.188210336527723,"Buffering","Scaling","Buffering","Buffering"
