"","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"1","AAAS","AAAS",0.18621854163792,0.151554349737429,0.000395076003735438,-0.24305585916187,0.00234901683226953,0.394610208899299,"sp.Q9NRG9.AAAS_HUMAN",0.219328690424535,0.0919092693484476,0.10639292865709,0.0945228185351261,0.975978432064767,-0.00261354918667849,"Buffering","Buffering","Buffering","Buffering"
"2","AACS","AACS",0.682163580230216,0.0572398234881195,0.663056384767551,0.0453455133843192,0.941632628294504,0.0118943101038003,"sp.Q86V21.AACS_HUMAN",0.94937980337504,-0.0103249322080304,0.915076372847356,-0.0108093479814208,0.997840752768143,0.000484415773390388,"Buffering","Buffering","Buffering","Buffering"
"3","AAK1","AAK1",0.00329142746678802,0.322043554999718,0.91642214585347,-0.0113549794912138,0.013901914006869,0.333398534490932,"sp.Q2M2I8.AAK1_HUMAN",0.00823824012359981,0.277235026136892,0.264966503892943,-0.130778593097453,0.00450013012001149,0.408013619234345,"Scaling","Buffering","Scaling","Buffering"
"4","AAMDC","AAMDC",0.325888548598887,0.129302581594287,0.199602866492355,-0.15561922356181,0.0794167783162465,0.284921805156097,"sp.Q9H7C9.AAMDC_HUMAN",0.895077971754882,0.0183478226975854,0.0175939185016625,-0.31509605577787,0.0455870294228207,0.333443878475455,"Buffering","Buffering","Buffering","Scaling"
"5","AAMP","AAMP",6.4874398989116e-06,0.355998846255593,0.00484086560352682,-0.209368012017956,3.45239057420623e-08,0.565366858273549,"sp.Q13685.AAMP_HUMAN",0.0212341769421364,0.288258982360835,0.0357088960867934,-0.223497663546533,0.000930453143229846,0.511756645907368,"Scaling","Buffering","Scaling","Buffering"
"6","AARS","AARS",0.000815631909450841,0.596018668211903,8.50876517903814e-05,-0.35773514354803,1.64770902947117e-06,0.953753811759933,"sp.P49588.SYAC_HUMAN",0.0186280274749571,0.296005614128839,0.000386184715322325,-0.295284861536273,2.40492555826603e-05,0.591290475665112,"Scaling","Scaling","Scaling","Scaling"
"7","AARS2","AARS2",0.0695529089144899,0.183997881817391,0.00147061537984386,-0.310340426644503,0.000204339395903311,0.494338308461894,"sp.Q5JTZ9.SYAM_HUMAN",0.00983488812586907,0.246015861963476,0.00333510159599154,-0.195591218556229,5.09292515631745e-05,0.441607080519705,"Buffering","Scaling","Buffering","Buffering"
"8","AASDHPPT","AASDHPPT",0.000637784053076827,0.291077677168556,6.6356785224507e-08,-0.43199752317954,2.4755791620642e-11,0.723075200348096,"sp.Q9NRN7.ADPPT_HUMAN",0.0352427422355599,0.232790232861051,1.46871983371049e-05,-0.395709173850549,1.87763958922782e-06,0.6284994067116,"Scaling","Scaling","Buffering","Scaling"
"9","AASS","AASS",0.0220637386233271,0.39575668215192,0.430310671820951,0.164934046109242,0.313040793416076,0.230822636042678,"sp.Q9UDR5.AASS_HUMAN",0.197058811349356,0.180550750968822,0.374507248286904,0.14697444924602,0.850404758234421,0.0335763017228019,"Scaling","Anti-Scaling","Buffering","Anti-Scaling"
"10","ABCB10","ABCB10",1.23748277280854e-05,0.378208752811958,0.000182358707484938,-0.40398127105035,1.69869596991798e-09,0.782190023862308,"sp.Q9NRK6.ABCBA_HUMAN",0.000175830803338422,0.305284842020148,0.22325160199211,-0.108119256374438,0.000116730485076225,0.413404098394586,"Scaling","Scaling","Scaling","Buffering"
