"","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"1","A2ML1","A2ML1",0.0698517023992318,-0.159935438007803,0.4980961085015,-0.0711961624319788,0.385508213065446,-0.0887392755758239,"sp.A8K2U0.A2ML1_HUMAN",0.0635032957232883,-0.654509019053735,0.136060430893657,-0.509073411265406,0.680704423323163,-0.145435607788329,"Anti-Scaling","Buffering","Anti-Scaling","Scaling"
"2","AAAS","AAAS",0.18621854163792,0.151554349737429,0.000374676029031557,-0.250222383134345,0.00209240001879699,0.401776732871774,"sp.Q9NRG9.AAAS_HUMAN",0.219328690424535,0.0919092693484476,0.113829233015956,0.095213390529464,0.970014913837074,-0.00330412118101634,"Buffering","Scaling","Buffering","Buffering"
"3","AACS","AACS",0.682163580230216,0.0572398234881195,0.908088641963682,-0.0109449033263083,0.663860625903439,0.0681847268144278,"sp.Q86V21.AACS_HUMAN",0.94937980337504,-0.0103249322080304,0.88127097840682,-0.015304963196292,0.977880795180896,0.00498003098826152,"Buffering","Buffering","Buffering","Buffering"
"4","AAGAB","AAGAB",4.24247156021642e-05,0.505400903301025,0.0572017773071543,-0.122856750387989,2.3029746881107e-06,0.628257653689014,"sp.Q6PD74.AAGAB_HUMAN",0.0171692979096481,0.371098567815082,0.00311112072664024,-0.265612273497545,0.000226241430484953,0.636710841312628,"Scaling","Buffering","Scaling","Scaling"
"5","AAK1","AAK1",0.00329142746678802,0.322043554999718,0.906313570394722,-0.0132014731290839,0.0157531216216149,0.335245028128802,"sp.Q2M2I8.AAK1_HUMAN",0.00823824012359981,0.277235026136892,0.174128716308874,-0.15836135504999,0.00236929719701564,0.435596381186882,"Scaling","Buffering","Scaling","Buffering"
"6","AAMDC","AAMDC",0.325888548598887,0.129302581594287,0.0221330074352918,-0.27782688406514,0.0124278462523033,0.407129465659428,"sp.Q9H7C9.AAMDC_HUMAN",0.895077971754882,0.0183478226975854,0.0093205827498227,-0.37093742805266,0.0257747225054462,0.389285250750245,"Buffering","Scaling","Buffering","Scaling"
"7","AAMP","AAMP",6.4874398989116e-06,0.355998846255593,0.00190772740286943,-0.244385315055504,1.55614610205813e-08,0.600384161311097,"sp.Q13685.AAMP_HUMAN",0.0212341769421364,0.288258982360835,0.012696676180377,-0.268961021664641,0.000356435975111087,0.557220004025476,"Scaling","Buffering","Scaling","Scaling"
"8","AAR2","AAR2",1.18634167798652e-14,0.392627439218676,0.464461737076709,-0.116743367972948,0.00513603426832836,0.509370807191623,"sp.Q9Y312.AAR2_HUMAN",6.31791278279089e-06,0.224072005798267,0.639910292777504,-0.0452658893959147,0.0116570674724331,0.269337895194181,"Scaling","Buffering","Buffering","Buffering"
"9","AARS","AARS",0.000815631909450841,0.596018668211903,7.55643934135539e-05,-0.364901838837302,1.47176906511925e-06,0.960920507049205,"sp.P49588.SYAC_HUMAN",0.0186280274749571,0.296005614128839,0.000386184715322325,-0.295284861536273,2.40492555826603e-05,0.591290475665112,"Scaling","Scaling","Scaling","Scaling"
"10","AARS2","AARS2",0.0695529089144899,0.183997881817391,0.00015530513580167,-0.363706084135092,3.53528641246721e-05,0.547703965952483,"sp.Q5JTZ9.SYAM_HUMAN",0.00983488812586907,0.246015861963476,0.00333510159599154,-0.195591218556229,5.09292515631745e-05,0.441607080519705,"Buffering","Scaling","Buffering","Buffering"
