"","Gene_Symbol","Protein_ID.x","Protein.Diff.Gain.RPAA","Protein.Diff.Loss.RPAA","X","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID.y","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"1","ACACA","ACC1",0.215699856535283,-0.0193831925298364,71,"ACACA..31.",0.100189155708738,0.180546950278032,0.0215013282639503,-0.21998014272936,0.00285380126292936,0.400527093007391,"sp.Q13085.4.ACACA_HUMAN",0.337724344845327,0.0923550066987025,0.0160301169107701,-0.236291528125403,0.00954416984177141,0.328646534824106,"Buffering","Buffering","Buffering","Buffering"
"2","ACTB","beta Actin",0.27592344620559,-0.186301833290762,125,"ACTB..60.",0.15416558756537,0.114627853998773,0.0582471701118495,-0.274900323992229,0.00995648417361195,0.389528177991002,"sp.P60709.ACTB_HUMAN",0.00317718323823498,0.128563939851088,0.243429035192384,0.0824371105053991,0.516240421588934,0.0461268293456888,"Buffering","Scaling","Buffering","Buffering"
"3","ADAR","ADAR1",0.171944897989233,-0.0934290397623747,165,"ADAR..103.",0.000118366631972062,0.287817747550821,0.000360307082042043,-0.447052398665124,2.84930969716935e-07,0.734870146215945,"sp.P55265.4.DSRAD_HUMAN",0.0123350182812594,0.157395551858793,0.0315868632359607,-0.210750999311308,0.000856076100449958,0.368146551170101,"Scaling","Scaling","Buffering","Buffering"
"4","ANXA1","Annexin 1",0.887894133145976,0.0276068250992929,417,"ANXA1..301.",0.000174613867267203,1.4897086153379,0.81313512440124,0.0719571026946761,0.000607501872771125,1.41775151264322,"sp.P04083.ANXA1_HUMAN",0.000437554170212956,0.801908206584689,0.286478903028552,-0.17687958634839,7.49317744215933e-05,0.978787792933079,"Scaling","Buffering","Scaling","Buffering"
"5","ANXA7","Annexin_VII",0.181165544971685,-0.178575408134176,426,"ANXA7..310.",0.328908184325165,0.113544020244944,0.000110678305015845,-0.298495200206233,0.00244681980002055,0.412039220451176,"sp.P20073.ANXA7_HUMAN",0.130908516787609,0.18699243483279,0.000382725147595097,-0.26968929624333,0.00130848186083696,0.456681731076121,"Buffering","Scaling","Buffering","Scaling"
"6","ASNS","ASNS",0.247754649485081,-0.152823152024306,632,"ASNS..440.",0.195945861136061,0.208071164208016,0.563831114450501,-0.129485618376147,0.158295773859472,0.337556782584163,"sp.P08243.ASNS_HUMAN",0.143328750839402,0.169758494770134,0.00488831204030393,-0.358406824721449,0.000187552906839371,0.528165319491583,"Buffering","Buffering","Buffering","Scaling"
"7","ATM","ATM",0.285869236550867,-0.291713527451865,677,"ATM..472.",0.085800352051686,0.204107122099725,1.14857649908608e-05,-0.533699232184652,1.72938787771325e-06,0.737806354284377,"sp.Q13315.ATM_HUMAN",0.0107345038843181,0.254518779443745,0.00233651644374041,-0.306484595987468,5.50798463227008e-06,0.561003375431214,"Buffering","Scaling","Scaling","Scaling"
"8","BAK1","Bak",0.0115464391223156,-0.015545229688785,779,"BAK1..578.",0.427592157840465,0.0766157789633866,0.00045313565511647,-0.287808355925001,0.00189567277246934,0.364424134888387,"sp.Q16611.BAK_HUMAN",0.870558114344829,0.0249470143217846,0.0780815812380429,-0.195790984871781,0.208677972116517,0.220737999193565,"Buffering","Scaling","Buffering","Buffering"
"9","BAP1","Bap1 c-4",-0.0638503886042222,-0.0873075421724245,782,"BAP1..8314.",0.0330163483611215,0.354009257313542,2.43283254281826e-16,-0.516371857567766,2.36866330335854e-05,0.870381114881309,"sp.Q92560.BAP1_HUMAN",0.295992251278032,0.123679912256298,0.637552724138638,0.0233144677837253,0.38518751215898,0.100365444472573,"Scaling","Scaling","Buffering","Buffering"
"10","BAX","Bax",-0.0103871492138675,-0.34270494224219,785,"BAX..581.",0.453541488676755,-0.0825164992023337,6.21417698961593e-06,-0.419748408797378,0.0052883956927204,0.337231909595044,"sp.Q07812.2.BAX_HUMAN",0.742073989335269,0.0327519646070459,0.000793675792724262,-0.300302380624973,0.00432990210673905,0.333054345232019,"Buffering","Scaling","Buffering","Scaling"
