"","X","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"7479",7479,"SMAD4","SMAD4..4089.",5.0772660073939e-06,0.761950991188762,2.16795655895543e-17,-0.957802607152519,1.85471466349335e-14,1.71975359834128,"sp.Q13485.SMAD4_HUMAN",0.00270246969748213,0.482098422625031,1.11987915797219e-13,-0.656102043542775,2.78314357970475e-08,1.13820046616781,"Scaling","Scaling","Scaling","Scaling"
"8050",8050,"TCF12","TCF12..6938.",0.730203901942401,0.0634314399409766,2.71400984773189e-10,-0.637424665278441,0.00106886771110818,0.700856105219417,"sp.Q99081.3.HTF4_HUMAN",0.706690228931687,-0.0571267464801778,7.68005581545786e-08,-0.535491622523822,0.00397401541163096,0.478364876043644,"Buffering","Scaling","Buffering","Scaling"
"8922",8922,"VHL","VHL..7428.",0.318141209858711,0.144003530247042,7.97635448173017e-12,-0.595495475718763,5.54016026202672e-05,0.739499005965805,"sp.P40337.VHL_HUMAN",0.865058864399004,-0.0514681943534677,2.42896092783732e-06,-0.501316029526721,0.162655691560691,0.449847835173253,"Buffering","Scaling","Buffering","Scaling"
"5147",5147,"NF2","NF2..4771.",0.00172704046517397,0.661888066814111,7.05309325850165e-08,-0.621124538131784,3.24552899514245e-07,1.2830126049459,"sp.P35240.MERL_HUMAN",0.153849775691498,0.221865100562752,1.10352299083418e-06,-0.48202474057639,0.000104533554669895,0.703889841139142,"Scaling","Scaling","Buffering","Scaling"
"9161",9161,"ZBTB7B","ZBTB7B..51043.",0.000377105473254536,0.40988593898962,2.76260934372072e-05,-0.696598230373538,1.1039454137775e-08,1.10648416936316,"sp.O15156.2.ZBT7B_HUMAN",0.033646267294891,0.250904484771121,0.00915237786693072,-0.457149332158697,0.000348290724975845,0.708053816929817,"Scaling","Scaling","Scaling","Scaling"
"6261",6261,"PSIP1","PSIP1..11168.",0.3069792427258,0.193526323345027,7.22963580571679e-11,-0.683230791907561,2.88973231299643e-05,0.876757115252587,"sp.O75475.PSIP1_HUMAN",0.57717125550089,0.0827209198881665,2.73975801911358e-07,-0.445175980844171,0.000728650544460868,0.527896900732337,"Buffering","Scaling","Buffering","Scaling"
"7809",7809,"STK11","STK11..6794.",0.0649077652981581,0.263729322239804,0.000483828008151075,-0.342392449860465,0.000198358432819733,0.606121772100269,"sp.Q15831.STK11_HUMAN",0.409239810651506,0.176928002264022,0.00173640766087234,-0.427627420770143,0.017062022759757,0.604555423034165,"Scaling","Scaling","Buffering","Scaling"
"2373",2373,"EEF2","EEF2..1938.",0.0166820322210319,0.482522677706507,2.71895678204445e-12,-0.462526702830004,4.84201261536148e-05,0.945049380536512,"sp.P13639.EF2_HUMAN",0.799286463705058,0.045502635099228,3.20009899667508e-07,-0.367297454123789,0.0303291135347228,0.412800089223017,"Scaling","Scaling","Buffering","Scaling"
"6322",6322,"PTEN","PTEN..5728.",0.0587486995580769,0.366497673631526,4.42207041301263e-06,-0.545000116083272,5.62090377479259e-05,0.911497789714798,"sp.P60484.PTEN_HUMAN",0.917621181145307,0.0464795855494316,0.00927936761584168,-0.350889874821642,0.39005548816077,0.397369460371073,"Scaling","Scaling","Buffering","Scaling"
"1133",1133,"CASP8","CASP8..841.",0.218855697688668,0.20175339208097,0.00824492672352797,-0.350537400200555,0.00546829535132209,0.552290792281525,"sp.Q14790.9.CASP8_HUMAN",0.129289523136615,0.207250232785206,0.00131372138112451,-0.342978302580704,0.000648093859216879,0.55022853536591,"Buffering","Scaling","Buffering","Scaling"
