"","Gene","X.x","Pvalue.Gain.R","Diff.Gain.R","CV.Gain.R","Pvalue.Loss.R","Diff.Loss.R","CV.Loss.R","Pvalue.GainvLoss.R","Diff.GainvLoss.R","X.y","Pvalue.Gain","Diff.Gain","CV.Gain","Pvalue.Loss","Diff.Loss","CV.Loss","Pvalue.GainvLoss","Diff.GainvLoss","Three.Protein.Gain.x","Three.Protein.Loss.x","Three.RNA.Gain","Three.RNA.Loss.x","Uniprot_Acc","Three.RNA.Loss.y","Three.Protein.Gain.y","Three.Protein.Loss.y","RNA_ID.All","Variance.noAn","Variance.Mean.noAn","Variance.All","St.Dev.noAn","St.Dev.All","Chrm.Num.Arm","Acetylation.Var1","Acetylation.Freq","Methylation.Var1","Methylation.Freq","Phosphorylation.Var1","Phosphorylation.Freq","ubiquitination.Var1","ubiquitination.Freq","Sumoylation.Var1","Sumoylation.Freq","regulatory.Var1","regulatory.Freq","gene.CORUM.complex.subunits2","gene.Freq","PPI.Freq.x","PPI.Freq.y","PPI.Freq","log2.CoeffVar.RNA","log2.Protein.CoeffVar","Gene_Name","AmplificationRatio","EnsembleID","m","bm","bp","lp","lm","p","Mean_HalfLife","Intrinsic_Disorder_MobiBD","Intrinsic_Disorder_LowComplexity","Loops.in.Protein.ANCHOR.","Intrinsic_Disorder_Polarity","Intrinsic_Disorder_Polyampholyte","Intrinsic_Disorder_homology","Rate_3","Uniprot.ID","Aggregation.score","Dependency.Score","Gene.names","Non.exponential.decay.delta","Degradation.profile","Mutations.Var1","Mutations.Freq","mutations.FrameShift.Var1","mutations.FrameShift.Freq","mutations.nonsense.missense.Var1","mutations.nonsense.missense.Freq"
"1","AAAS",17,0.00158695968626253,0.213042046202448,-0.554584378642029,0.0186030214929584,-0.176686438136421,-0.353352949233286,7.46306401914506e-06,0.389728484338869,4,0.108600576083197,0.0911781839915672,0.751640184593256,0.504950019149654,-0.0344602919192605,-0.758404746659756,0.0618730887562907,0.125638475910828,"Buffering","Buffering","Buffering","Buffering","Q9NRG9","Buffering","Buffering","Buffering","AAAS..8086.",0.2533387,0.0443675,0.2667792,0.5033277,0.5165067,"12q",NA,0,NA,0,"Q9NRG9",17,"Q9NRG9",10,NA,0,NA,0,NA,0,1,24,25,-4.494353,1.527655,"AAAS",0.005405405,"ENSG00000094914",1.041741,-0.1743382,2.857966,2.737193,4.150971,5.187843,133.1736,47,21,20,NA,NA,367,NA,"aaas_human","-0.55",-0.518631529,NA,NA,NA,"AAAS",11,"AAAS",2,"AAAS",7
"2","AAAS",3,0.00158695968626253,0.213042046202448,-0.554584378642029,0.0186030214929584,-0.176686438136421,-0.353352949233286,7.46306401914506e-06,0.389728484338869,4,0.108600576083197,0.0911781839915672,0.751640184593256,0.504950019149654,-0.0344602919192605,-0.758404746659756,0.0618730887562907,0.125638475910828,"Buffering","Buffering","Buffering","Buffering","Q9NRG9","Buffering","Buffering","Buffering","AAAS..8086.",0.2533387,0.0443675,0.2667792,0.5033277,0.5165067,"12q",NA,0,NA,0,"Q9NRG9",17,"Q9NRG9",10,NA,0,NA,0,NA,0,1,24,25,-4.494353,1.527655,"AAAS",0.005405405,"ENSG00000094914",1.041741,-0.1743382,2.857966,2.737193,4.150971,5.187843,133.1736,47,21,20,NA,NA,367,NA,"aaas_human","-0.55",-0.518631529,NA,NA,NA,"AAAS",11,"AAAS",2,"AAAS",7
"3","AACS",4,0.0796205296077222,0.133075161247861,-1.68770055155061,1.48607387540377e-06,-0.401610092063049,-0.453630109568872,1.26001664831503e-07,0.53468525331091,5,0.16172603478976,0.189008666004212,2.25736244874384,0.542658961020513,-0.0631985265589402,-1.52628785697934,0.10867300436628,0.252207192563152,"Buffering","Buffering","Buffering","Scaling","Q86V21","Buffering","Buffering","Buffering","AACS..65985.",0.525561406,0.125690082,0.528777594,0.724956141,0.727170953,"12q","Q86V21",1,NA,0,"Q86V21",12,"Q86V21",10,NA,0,NA,0,NA,0,1,1,2,-2.992057286,3.695149631,"AACS",0.002702703,"ENSG00000081760",0.687159727,-0.528919663,3.158679441,2.827369273,4.891771546,5.133975526,52.108,NA,18,NA,NA,NA,498,NA,"aacs_human","-0.31",0.06827947,NA,NA,NA,"AACS",16,"AACS",3,"AACS",9
"4","AACS",18,0.0796205296077222,0.133075161247861,-1.68770055155061,1.48607387540377e-06,-0.401610092063049,-0.453630109568872,1.26001664831503e-07,0.53468525331091,5,0.16172603478976,0.189008666004212,2.25736244874384,0.542658961020513,-0.0631985265589402,-1.52628785697934,0.10867300436628,0.252207192563152,"Buffering","Buffering","Buffering","Scaling","Q86V21","Buffering","Buffering","Buffering","AACS..65985.",0.525561406,0.125690082,0.528777594,0.724956141,0.727170953,"12q","Q86V21",1,NA,0,"Q86V21",12,"Q86V21",10,NA,0,NA,0,NA,0,1,1,2,-2.992057286,3.695149631,"AACS",0.002702703,"ENSG00000081760",0.687159727,-0.528919663,3.158679441,2.827369273,4.891771546,5.133975526,52.108,NA,18,NA,NA,NA,498,NA,"aacs_human","-0.31",0.06827947,NA,NA,NA,"AACS",16,"AACS",3,"AACS",9
"5","AAMP",6,0.0142545013595148,0.203272685185185,1.30054846741108,3.71106543892959e-05,-0.394405833333333,-0.506556051720532,5.14131779161809e-07,0.597678518518518,9,0.679821780715412,0.041333271700683,11.4312397048832,0.00965801761456203,-0.169709889900665,-0.136648087519751,0.0609682521628294,0.211043161601348,"Buffering","Buffering","Buffering","Scaling","Q13685","Buffering","Scaling","Buffering","AAMP..14.",0.182825034,0.027502293,0.216140336,0.427580441,0.464908954,"2q",NA,0,"Q13685",1,"Q13685",2,"Q13685",5,NA,0,NA,0,NA,0,21,16,37,-5.184304262,3.3432718,"AAMP",0,"ENSG00000127837",1.556588687,0.340509296,3.310273557,2.63748973,3.787814567,6.154998602,20.69,63,49,93,NA,NA,352,-0.013,"aamp_human","-0.01",-0.801568589,NA,NA,NA,"AAMP",11,"AAMP",5,"AAMP",5
"6","AAMP",20,0.0142545013595148,0.203272685185185,1.30054846741108,3.71106543892959e-05,-0.394405833333333,-0.506556051720532,5.14131779161809e-07,0.597678518518518,9,0.679821780715412,0.041333271700683,11.4312397048832,0.00965801761456203,-0.169709889900665,-0.136648087519751,0.0609682521628294,0.211043161601348,"Buffering","Buffering","Buffering","Scaling","Q13685","Buffering","Scaling","Buffering","AAMP..14.",0.182825034,0.027502293,0.216140336,0.427580441,0.464908954,"2q",NA,0,"Q13685",1,"Q13685",2,"Q13685",5,NA,0,NA,0,NA,0,21,16,37,-5.184304262,3.3432718,"AAMP",0,"ENSG00000127837",1.556588687,0.340509296,3.310273557,2.63748973,3.787814567,6.154998602,20.69,63,49,93,NA,NA,352,-0.013,"aamp_human","-0.01",-0.801568589,NA,NA,NA,"AAMP",11,"AAMP",5,"AAMP",5
"7","AARS2",8,2.54043038563261e-10,0.303012283644231,2.60163480383678,1.17491840305328e-06,-0.256563751624245,-0.177458280893794,6.47263174376398e-17,0.559576035268476,12,0.00262090613043722,0.182248653034931,0.312524475640384,1.76810271991502e-06,-0.292547546009459,-0.0886736617670326,1.90119421432622e-09,0.47479619904439,"Buffering","Scaling","Scaling","Scaling","Q5JTZ9","Scaling","Buffering","Buffering","AARS2..57505.",0.295082016,0.083501565,0.382456769,0.543214521,0.618430893,"6p",NA,0,"Q5JTZ9",4,"Q5JTZ9",10,"Q5JTZ9",3,NA,0,NA,0,NA,0,0,36,36,-3.582052951,4.002593131,"AARS2",0.002702703,"ENSG00000124608",0.779816929,-0.436262461,2.725603095,2.99343623,4.135863814,4.793556383,110.2755,NA,75,58,NA,NA,640,NA,"syam_human","-",-0.767265051,NA,NA,NA,"AARS2",34,NA,0,"AARS2",27
"8","AARS2",22,2.54043038563261e-10,0.303012283644231,2.60163480383678,1.17491840305328e-06,-0.256563751624245,-0.177458280893794,6.47263174376398e-17,0.559576035268476,12,0.00262090613043722,0.182248653034931,0.312524475640384,1.76810271991502e-06,-0.292547546009459,-0.0886736617670326,1.90119421432622e-09,0.47479619904439,"Buffering","Scaling","Scaling","Scaling","Q5JTZ9","Scaling","Buffering","Buffering","AARS2..57505.",0.295082016,0.083501565,0.382456769,0.543214521,0.618430893,"6p",NA,0,"Q5JTZ9",4,"Q5JTZ9",10,"Q5JTZ9",3,NA,0,NA,0,NA,0,0,36,36,-3.582052951,4.002593131,"AARS2",0.002702703,"ENSG00000124608",0.779816929,-0.436262461,2.725603095,2.99343623,4.135863814,4.793556383,110.2755,NA,75,58,NA,NA,640,NA,"syam_human","-",-0.767265051,NA,NA,NA,"AARS2",34,NA,0,"AARS2",27
"9","AASDHPPT",24,1.10680667841294e-05,0.302363521430026,-1.26133994251759,1.58953110629903e-13,-0.480824351260663,-0.177496965023172,1.34127842936914e-18,0.78318787269069,14,0.00138721625256358,0.263413130832143,0.360379882802721,0.00312406388380549,-0.288547147363335,-0.607273131981045,9.53212424925942e-06,0.551960278195478,"Scaling","Scaling","Scaling","Scaling","Q9NRN7","Scaling","Buffering","Scaling","AASDHPPT..60496.",0.2961006,0.06082008,0.3743675,0.5441513,0.6118558,"11q","Q9NRN7",4,"Q9NRN7",1,"Q9NRN7",4,"Q9NRN7",12,NA,0,NA,0,NA,0,8,26,34,-4.039309,3.091571,"AASDHPPT",0.002702703,"ENSG00000149313",1.272135,0.05605609,2.980194,2.489958,4.326786,5.540466,86.44575,NA,10,19,NA,NA,267,0.238,"adppt_human","-7.00E-02",-0.556969512,NA,NA,NA,"AASDHPPT",12,NA,0,"AASDHPPT",9
"10","AASDHPPT",10,1.10680667841294e-05,0.302363521430026,-1.26133994251759,1.58953110629903e-13,-0.480824351260663,-0.177496965023172,1.34127842936914e-18,0.78318787269069,14,0.00138721625256358,0.263413130832143,0.360379882802721,0.00312406388380549,-0.288547147363335,-0.607273131981045,9.53212424925942e-06,0.551960278195478,"Scaling","Scaling","Scaling","Scaling","Q9NRN7","Scaling","Buffering","Scaling","AASDHPPT..60496.",0.2961006,0.06082008,0.3743675,0.5441513,0.6118558,"11q","Q9NRN7",4,"Q9NRN7",1,"Q9NRN7",4,"Q9NRN7",12,NA,0,NA,0,NA,0,8,26,34,-4.039309,3.091571,"AASDHPPT",0.002702703,"ENSG00000149313",1.272135,0.05605609,2.980194,2.489958,4.326786,5.540466,86.44575,NA,10,19,NA,NA,267,0.238,"adppt_human","-7.00E-02",-0.556969512,NA,NA,NA,"AASDHPPT",12,NA,0,"AASDHPPT",9
"11","ABCB6",29,0.220612628702318,0.145711965811966,-1.2137192824621,4.33614139120438e-05,-0.538554871794872,-0.290316853685103,3.17540764124866e-05,0.684266837606838,22,0.0943603761610341,0.176329214507375,0.682909570702934,0.0357948083554712,-0.246296479061748,-0.354410343826128,0.00469764622625226,0.422625693569123,"Buffering","Buffering","Buffering","Scaling","Q9NP58","Buffering","Buffering","Buffering","ABCB6..10058.",1.891923,0.4466462,1.827547,1.375472,1.351868,"2q",NA,0,NA,0,"Q9NP58",3,"Q9NP58",8,"Q9NP58",1,NA,0,NA,0,2,18,20,-1.162796,5.101037,"ABCB6",0,"ENSG00000115657",1.309866,0.09378625,2.690841,2.925312,3.964872,5.288843,51.02125,NA,80,13,NA,NA,723,0.167,"abcb6_human","-0.52",-0.073818016,NA,NA,NA,"ABCB6",29,"ABCB6",3,"ABCB6",15
"12","ABCF1",37,6.52777858705404e-14,0.382856472631764,-1.12982117313818,2.21160451582574e-09,-0.414448965480747,-0.153844290549315,5.38287752727348e-21,0.797305438112512,33,2.60314384731806e-08,0.294032500888893,0.168067093514086,0.000111191442222378,-0.223295274634003,-0.0970932927406289,8.95702383044001e-11,0.517327775522896,"Scaling","Buffering","Scaling","Scaling","Q5STZ8","Scaling","Scaling","Anti-Scaling","ABCF1..23.",0.366755985,0.059375223,0.405244132,0.605603818,0.636587882,"6p",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,23,65,88,-4.073995163,3.623935315,"ABCF1",0.005405405,NA,NA,NA,NA,NA,NA,NA,77.7875,262,184,121,NA,160,NA,NA,"abcf1_human","-",-0.935419702,NA,NA,NA,"ABCF1",21,NA,0,"ABCF1",18
"13","ABCF1",37,6.52777858705404e-14,0.382856472631764,-1.12982117313818,2.21160451582574e-09,-0.414448965480747,-0.153844290549315,5.38287752727348e-21,0.797305438112512,33,2.60314384731806e-08,0.294032500888893,0.168067093514086,0.000111191442222378,-0.223295274634003,-0.0970932927406289,8.95702383044001e-11,0.517327775522896,"Scaling","Buffering","Scaling","Scaling","Q8NE71","Scaling","Scaling","Buffering","ABCF1..23.",0.366755985,0.059375223,0.405244132,0.605603818,0.636587882,"6p","Q8NE71",2,"Q8NE71",5,"Q8NE71",33,"Q8NE71",24,NA,0,"Q8NE71",2,NA,0,23,65,88,-4.073995163,2.333304228,"ABCF1",0.005405405,NA,NA,NA,NA,NA,NA,NA,77.7875,305,269,151,NA,204,290,0.042,"abcf1_human","-",-0.935419702,"ABCF1",-0.050195717,"ED","ABCF1",21,NA,0,"ABCF1",18
"14","ABI2",45,0.0129699220403565,0.186355832631874,0.545015320707248,0.00136273797385319,-0.315006976010101,-5.21668782139331,2.43503365746255e-05,0.501362808641975,47,0.174282588614665,0.0890341889750422,0.314711623287702,0.0414635872966156,-0.204984972586678,-0.504976846311809,0.0105323482639221,0.29401916156172,"Buffering","Buffering","Buffering","Scaling","Q9NYB9-2","Buffering","Scaling","Buffering","ABI2..10152.",0.7477784,0.1577709,0.6890828,0.8647418,0.8301101,"2q",NA,0,"Q9NYB9-2",1,"Q9NYB9-2",7,"Q9NYB9-2",1,NA,0,NA,0,NA,0,50,61,111,-2.664097,4.401812,"ABI2",0,NA,NA,NA,NA,NA,NA,NA,53.6865,NA,NA,NA,NA,NA,NA,NA,"abi2_human","-",0.061022726,NA,NA,NA,"ABI2",17,"ABI2",2,"ABI2",10
